% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
44.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),11,10,2,694 / 788,694,Hollywould,Hollywould,15/11/2019,15/11/2019,2,0K,21,$0.0 Million,11,11,1,0,,11888,1,5290,55845,694,11888,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Metrograph Pictures,Metrograph Pictures,All Others (101 Total),All Others (101 Total),11,18,-,695 / 788,695,Duet for Cannibals,Duet for Cannibals,22/11/2019,22/11/2019,4,0K,21,$0.0 Million,11,11,1,0,,11741,1,0,78418,695,11741,$0.0M,,$0M
35.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),5,9,4,696 / 788,696,Yomeddine,Yomeddine,31/05/2019,31/05/2019,4,0K,21,$0.0 Million,5,11,1,0,,11308,1,4013,77906,696,11308,$0.0M,,$0M
18.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Big World Pictures,Big World Pictures,All Others (101 Total),All Others (101 Total),7,52,1,697 / 788,697,I Do Not Care If We Go Down in History as Barbarians,I Do Not Care If We Go Down in History as Barbarians,19/07/2019,19/07/2019,2,0K,21,$0.0 Million,7,11,1,0,,11307,1,2083,46535,697,11307,$0.0M,,$0M
59%,All Others (101 Total),,NADA,NADA,Month,,NA,Blue Fox Entertainment,Blue Fox Entertainment,All Others (101 Total),All Others (101 Total),1,13,27,698 / 788,698,In Like Flynn,In Like Flynn,24/01/2019,24/01/2019,27,0K,21,$0.0 Million,1,11,1,0,,11255,1,6646,81594,698,11255,$0.0M,,$0M
34.50%,All Others (101 Total),,NADA,NADA,Month,20/06/2019,69,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),4,13,2,699 / 788,699,Made Me Do It,Made Me Do It,12/04/2019,12/04/2019,2,0K,21,$0.0 Million,4,11,1,0,,11151,1,3842,69475,699,11151,$0.0M,,$0M
31.50%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,48,Greenwich Entertainment,Greenwich Entertainment,All Others (101 Total),All Others (101 Total),3,14,1,700 / 788,700,Ferrante Fever,Ferrante Fever,08/03/2019,08/03/2019,3,0K,21,$0.0 Million,3,11,1,0,,11137,1,3509,69136,700,11137,$0.0M,,$0M
29.20%,All Others (101 Total),,NADA,NADA,Month,,NA,The Cinema Guild,The Cinema Guild,All Others (101 Total),All Others (101 Total),4,14,1,701 / 788,701,Suburban Birds,Suburban Birds,05/04/2019,05/04/2019,3,0K,21,$0.0 Million,4,11,1,0,,10997,1,3207,74761,701,10997,$0.0M,,$0M
24.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Lightyear Entertainment,Lightyear Entertainment,All Others (101 Total),All Others (101 Total),11,7,1,702 / 788,702,16 Bars,16 Bars,08/11/2019,08/11/2019,4,0K,21,$0.0 Million,11,11,1,0,,10985,1,2662,95647,702,10985,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,16/05/2019,20,Monument Releasing,Monument Releasing,All Others (101 Total),All Others (101 Total),4,20,1,703 / 788,703,If the Dancer Dances,If the Dancer Dances,26/04/2019,26/04/2019,6,0K,21,$0.0 Million,4,11,1,0,,10912,1,5000,59263,703,10912,$0.0M,,$0M
29.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),11,18,2,704 / 788,704,Shooting the Mafia,Shooting the Mafia,22/11/2019,22/11/2019,3,0K,21,$0.0 Million,11,11,1,0,,10881,1,3251,37830,704,10881,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),8,16,-,705 / 788,705,Vision Portraits,Vision Portraits,09/08/2019,09/08/2019,3,0K,21,$0.0 Million,8,11,1,0,,10771,1,0,52184,705,10771,$0.0M,,$0M
51.30%,All Others (101 Total),,NADA,NADA,Month,13/02/2019,13,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),1,16,2,706 / 788,706,Daughter of Mine,Daughter of Mine,31/01/2019,31/01/2019,2,0K,21,$0.0 Million,1,11,1,0,,10628,1,5447,50542,706,10628,$0.0M,,$0M
32.10%,All Others (101 Total),,NADA,NADA,Month,14/11/2019,20,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),10,10,3,707 / 788,707,Intuitions,Intuitions,25/10/2019,25/10/2019,3,0K,21,$0.0 Million,10,11,1,0,,10606,1,3407,62437,707,10606,$0.0M,,$0M
23.10%,All Others (101 Total),,NADA,NADA,Month,18/04/2019,34,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),3,24,1,708 / 788,708,The Eyes of Orson Welles,The Eyes of Orson Welles,15/03/2019,15/03/2019,2,0K,21,$0.0 Million,3,11,1,0,,10253,1,2372,38013,708,10253,$0.0M,,$0M
39.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Icarus Films,Icarus Films,All Others (101 Total),All Others (101 Total),8,6,3,709 / 788,709,Olivia,Olivia,16/08/2019,16/08/2019,3,0K,21,$0.0 Million,8,11,1,0,,9934,1,3948,53783,709,9934,$0.0M,,$0M
50.50%,All Others (101 Total),,NADA,NADA,Month,01/08/2019,13,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),7,10,1,710 / 788,710,Streetwise,Streetwise,19/07/2019,19/07/2019,1,0K,21,$0.0 Million,7,11,1,0,,9904,1,5006,7613,710,9904,$0.0M,,$0M
27.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),4,20,1,711 / 788,711,The Spanish Prisoner,The Spanish Prisoner,26/04/2019,26/04/2019,1,0K,21,$0.0 Million,4,11,1,0,,9589,1,2679,74814,711,9589,$0.0M,,$0M
47.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),9,24,1,712 / 788,712,Fritz Lang's Indian Epic,Fritz Lang's Indian Epic,27/09/2019,27/09/2019,1,0K,21,$0.0 Million,9,11,1,0,,9345,1,4401,31916,712,9345,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),11,23,1,713 / 788,713,When Lambs Become Lions,When Lambs Become Lions,22/11/2019,22/11/2019,2,0K,21,$0.0 Million,11,11,1,0,,9337,1,3155,4417,713,9337,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Cohen Media Group,Cohen Media Group,All Others (101 Total),All Others (101 Total),1,17,10,714 / 788,714,The Aspern Papers,The Aspern Papers,10/01/2019,10/01/2019,10,0K,21,$0.0 Million,1,11,1,0,,9277,1,9277,25531,714,9277,$0.0M,,$0M
57.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),9,10,1,715 / 788,715,Cracked Up,Cracked Up,13/09/2019,13/09/2019,1,0K,21,$0.0 Million,9,11,1,0,,9197,1,5310,71772,715,9197,$0.0M,,$0M
36.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),3,35,1,716 / 788,716,Frantz Fanon: Black Skin White Mask,Frantz Fanon: Black Skin White Mask,15/03/2019,15/03/2019,1,0K,21,$0.0 Million,3,11,1,0,,9025,1,3278,59075,716,9025,$0.0M,,$0M
65%,All Others (101 Total),,NADA,NADA,Month,26/05/2019,9,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),5,24,3,717 / 788,717,The Meanest Man in Texas,The Meanest Man in Texas,17/05/2019,17/05/2019,3,0K,21,$0.0 Million,5,11,1,0,,8850,1,5750,20446,717,8850,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),6,45,-,718 / 788,718,That Part Feeling - the Universe of Arvo Part,That Part Feeling - the Universe of Arvo Part,03/06/2019,03/06/2019,3,0K,21,$0.0 Million,6,11,1,0,,8812,1,0,49082,718,8812,$0.0M,,$0M
46%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),11,18,2,719 / 788,719,The Hottest August,The Hottest August,15/11/2019,15/11/2019,2,0K,21,$0.0 Million,11,11,1,0,,8440,1,3883,25247,719,8440,$0.0M,,$0M
64%,All Others (101 Total),,NADA,NADA,Month,,NA,Arrow Films,Arrow Films,All Others (101 Total),All Others (101 Total),10,15,10,720 / 788,720,The Dead Center,The Dead Center,11/10/2019,11/10/2019,10,0K,21,$0.0 Million,10,11,1,0,,8320,1,5325,71642,720,8320,$0.0M,,$0M
81.90%,All Others (101 Total),,NADA,NADA,Month,,NA,Lightyear Entertainment,Lightyear Entertainment,All Others (101 Total),All Others (101 Total),11,18,4,721 / 788,721,The Etruscan Smile,The Etruscan Smile,08/11/2019,08/11/2019,4,0K,21,$0.0 Million,11,11,1,0,,8213,1,6729,98399,721,8213,$0.0M,,$0M
34.30%,All Others (101 Total),,NADA,NADA,Month,,NA,The Cinema Guild,The Cinema Guild,All Others (101 Total),All Others (101 Total),4,5,1,722 / 788,722,Grass,Grass,19/04/2019,19/04/2019,2,0K,21,$0.0 Million,4,11,1,0,,8084,1,2774,40279,722,8084,$0.0M,,$0M
21.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),7,24,1,723 / 788,723,Angels Are Made Of Light,Angels Are Made Of Light,26/07/2019,26/07/2019,2,0K,21,$0.0 Million,7,11,1,0,,7919,1,1707,95773,723,7919,$0.0M,,$0M
12.60%,All Others (101 Total),,NADA,NADA,Month,18/04/2019,48,GKIDS,GKIDS,All Others (101 Total),All Others (101 Total),3,22,1,724 / 788,724,This Magnificent Cake!,This Magnificent Cake!,01/03/2019,01/03/2019,2,0K,21,$0.0 Million,3,11,1,0,,7888,1,991,12298,724,7888,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,16/06/2019,9,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),6,11,-,725 / 788,725,Ghost Fleet,Ghost Fleet,07/06/2019,07/06/2019,7,0K,21,$0.0 Million,6,11,1,0,,7850,1,0,93530,725,7850,$0.0M,,$0M
58.90%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,6,None Listed,-,All Others (101 Total),All Others (101 Total),6,15,1,726 / 788,726,The Plagiarists,The Plagiarists,28/06/2019,28/06/2019,1,0K,21,$0.0 Million,6,11,1,0,,7768,1,4577,81432,726,7768,$0.0M,,$0M
54.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),10,14,1,727 / 788,727,Gregory's Girl,Gregory's Girl,04/10/2019,04/10/2019,1,0K,21,$0.0 Million,10,11,1,0,,7710,1,4185,77420,727,7710,$0.0M,,$0M
25.50%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),7,19,4,728 / 788,728,I'll Take Your Dead,I'll Take Your Dead,05/07/2019,05/07/2019,5,0K,21,$0.0 Million,7,11,1,0,,7692,1,1963,30113,728,7692,$0.0M,,$0M
46.60%,All Others (101 Total),,NADA,NADA,Month,06/02/2019,13,Saban Films,Saban Films,All Others (101 Total),All Others (101 Total),1,15,11,729 / 788,729,King of Thieves,King of Thieves,24/01/2019,24/01/2019,11,0K,21,$0.0 Million,1,11,1,0,,7518,1,3502,79435,729,7518,$0.0M,,$0M
53.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),10,13,3,730 / 788,730,Beloved Beast,Beloved Beast,11/10/2019,11/10/2019,3,0K,21,$0.0 Million,10,11,1,0,,7301,1,3894,82332,730,7301,$0.0M,,$0M
43%,All Others (101 Total),,NADA,NADA,Month,,NA,Blue Fox Entertainment,Blue Fox Entertainment,All Others (101 Total),All Others (101 Total),7,5,2,731 / 788,731,Rosie,Rosie,19/07/2019,19/07/2019,2,0K,21,$0.0 Million,7,11,1,0,,6839,1,2942,62006,731,6839,$0.0M,,$0M
38.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),8,7,1,732 / 788,732,Genesis,Genesis,23/08/2019,23/08/2019,2,0K,21,$0.0 Million,8,11,1,0,,6784,1,2585,87691,732,6784,$0.0M,,$0M
11.90%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,59,-,733 / 788,733,Going Attractions: The Definitive Story of the Movie Palace,Going Attractions: The Definitive Story of the Movie Palace,24/10/2019,24/10/2019,6,0K,21,$0.0 Million,10,11,1,0,,6763,1,803,99410,733,6763,$0.0M,,$0M
48%,All Others (101 Total),,NADA,NADA,Month,22/09/2019,44,China Lion Film Distribution,China Lion Film Distribution,All Others (101 Total),All Others (101 Total),8,16,2,734 / 788,734,Dying to Survive,Dying to Survive,09/08/2019,09/08/2019,2,0K,21,$0.0 Million,8,11,1,0,,6752,1,3238,50436,734,6752,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),12,11,3,735 / 788,735,Spiral Farm,Spiral Farm,13/12/2019,13/12/2019,3,0K,21,$0.0 Million,12,11,1,0,,6517,1,5475,75587,735,6517,$0.0M,,$0M
62.90%,All Others (101 Total),,NADA,NADA,Month,13/02/2019,6,The Orchard,The Orchard,All Others (101 Total),All Others (101 Total),2,22,11,736 / 788,736,Under the Eiffel Tower,Under the Eiffel Tower,07/02/2019,07/02/2019,11,0K,21,$0.0 Million,2,11,1,0,,6291,1,3957,29489,736,6291,$0.0M,,$0M
21.90%,All Others (101 Total),,NADA,NADA,Month,20/02/2019,6,None Listed,-,All Others (101 Total),All Others (101 Total),2,15,10,737 / 788,737,Patrick the Pug,Patrick the Pug,14/02/2019,14/02/2019,100,0K,21,$0.0 Million,2,11,1,0,,6290,1,1378,88517,737,6290,$0.0M,,$0M
30.80%,All Others (101 Total),,NADA,NADA,Month,,NA,First Run,First Run,All Others (101 Total),All Others (101 Total),11,16,1,738 / 788,738,To Be of Service,To Be of Service,01/11/2019,01/11/2019,1,0K,21,$0.0 Million,11,11,1,0,,6173,1,1904,72150,738,6173,$0.0M,,$0M
37.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),9,16,5,739 / 788,739,The Golden Glove,The Golden Glove,27/09/2019,27/09/2019,5,0K,21,$0.0 Million,9,11,1,0,,6160,1,2300,97649,739,6160,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),3,7,-,740 / 788,740,Relaxer,Relaxer,29/03/2019,29/03/2019,5,0K,21,$0.0 Million,3,11,1,0,,6133,1,0,20254,740,6133,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),8,11,-,741 / 788,741,Blood Widow,Blood Widow,04/08/2019,04/08/2019,2,0K,21,$0.0 Million,8,11,1,0,,5835,1,0,45105,741,5835,$0.0M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Aspiration Entertainment,Aspiration Entertainment,All Others (101 Total),All Others (101 Total),10,16,-,742 / 788,742,Love Goes Public,Love Goes Public,25/10/2019,25/10/2019,-,0K,21,$0.0 Million,10,11,1,0,,5700,1,5700,11473,742,5700,$0.0M,,$0M
37.10%,All Others (101 Total),,NADA,NADA,Month,,NA,Rialto Pictures,Rialto Pictures,All Others (101 Total),All Others (101 Total),9,11,1,743 / 788,743,Série noire,Série noire,27/09/2019,27/09/2019,1,0K,21,$0.0 Million,9,11,1,0,,5633,1,2088,69902,743,5633,$0.0M,,$0M
47.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),8,32,1,744 / 788,744,The Miracle of the Little Prince,The Miracle of the Little Prince,28/08/2019,28/08/2019,1,0K,21,$0.0 Million,8,11,1,0,,5553,1,2643,59465,744,5553,$0.0M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),3,9,3,745 / 788,745,Chokehold,Chokehold,01/03/2019,01/03/2019,3,0K,21,$0.0 Million,3,11,1,0,,5200,1,5200,23844,745,5200,$0.0M,,$0M
56.60%,All Others (101 Total),,NADA,NADA,Month,22/01/2019,-248,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),9,13,3,746 / 788,746,The Gliksmans,The Gliksmans,27/09/2019,27/09/2019,3,0K,21,$0.0 Million,9,11,1,0,,5166,1,2922,52884,746,5166,$0.0M,,$0M
19.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),10,17,1,747 / 788,747,100 Acres of Hell,100 Acres of Hell,11/10/2019,11/10/2019,1,0K,21,$0.0 Million,10,11,1,0,,5152,1,997,24326,747,5152,$0.0M,,$0M
33.80%,All Others (101 Total),,NADA,NADA,Month,16/05/2019,20,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),4,21,8,748 / 788,748,Body at Brighton Rock,Body at Brighton Rock,26/04/2019,26/04/2019,9,0K,21,$0.0 Million,4,11,1,0,,5123,1,1732,9413,748,5123,$0.0M,,$0M
67.90%,All Others (101 Total),,NADA,NADA,Month,11/07/2019,6,Screen Media Films,Screen Media Films,All Others (101 Total),All Others (101 Total),7,10,25,749 / 788,749,Cold Blood,Cold Blood,05/07/2019,05/07/2019,25,0K,21,$0.0 Million,7,11,1,0,,5083,1,3450,51060,749,5083,$0.0M,,$0M
70.70%,All Others (101 Total),,NADA,NADA,Month,04/07/2019,6,Argot Pictures,Argot Pictures,All Others (101 Total),All Others (101 Total),6,16,1,750 / 788,750,Chulas Fronteras,Chulas Fronteras,28/06/2019,28/06/2019,1,0K,21,$0.0 Million,6,11,1,0,,5021,1,3548,16502,750,5021,$0.0M,,$0M
22.80%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,8,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),5,10,1,751 / 788,751,The Garden,The Garden,29/05/2019,29/05/2019,1,0K,21,$0.0 Million,5,11,1,0,,5006,1,1141,45196,751,5006,$0.0M,,$0M
45.40%,All Others (101 Total),,NADA,NADA,Month,30/01/2019,13,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),1,5,3,752 / 788,752,Malek,Malek,17/01/2019,17/01/2019,4,0K,21,$0.0 Million,1,11,1,0,,4898,1,2226,37075,752,4898,$0.0M,,$0M
36.90%,All Others (101 Total),,NADA,NADA,Month,14/11/2019,14,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),10,8,1,753 / 788,753,Crepitus,Crepitus,31/10/2019,31/10/2019,2,0K,21,$0.0 Million,10,11,1,0,,4846,1,1790,8006,753,4846,$0.0M,,$0M
39.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Indican Pictures,Indican Pictures,All Others (101 Total),All Others (101 Total),11,12,2,754 / 788,754,Ballet Blanc,Ballet Blanc,08/11/2019,08/11/2019,2,0K,21,$0.0 Million,11,11,1,0,,4832,1,1894,81544,754,4832,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),8,43,-,755 / 788,755,What You Gonna Do When the World's on Fire?,What You Gonna Do When the World's on Fire?,16/08/2019,16/08/2019,1,0K,21,$0.0 Million,8,11,1,0,,4672,1,0,27514,755,4672,$0.0M,,$0M
46%,Sony Pictures Releasing,,NADA,NADA,Month,23/05/2019,6,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,5,20,10,756 / 788,756,Slaughterhouse Rulez,Slaughterhouse Rulez,17/05/2019,17/05/2019,10,0K,21,$0.0 Million,5,11,1,0,,4665,1,2145,85885,756,4665,$0.0M,,$0M
30.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Cinema Libre Studio,Cinema Libre Studio,All Others (101 Total),All Others (101 Total),7,6,1,757 / 788,757,At War,At War,19/07/2019,19/07/2019,1,0K,21,$0.0 Million,7,11,1,0,,4605,1,1405,40374,757,4605,$0.0M,,$0M
28%,All Others (101 Total),,NADA,NADA,Month,,NA,The Cinema Guild,The Cinema Guild,All Others (101 Total),All Others (101 Total),9,15,1,758 / 788,758,I'm Leaving Now,I'm Leaving Now,06/09/2019,06/09/2019,1,0K,21,$0.0 Million,9,11,1,0,,4488,1,1255,85899,758,4488,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Cinedigm Entertainment Group,Cinedigm Entertainment Group,All Others (101 Total),All Others (101 Total),1,17,-,759 / 788,759,SGT. Will Gardner,SGT. Will Gardner,10/01/2019,10/01/2019,12,0K,21,$0.0 Million,1,11,1,0,,4405,1,0,33541,759,4405,$0.0M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,06/02/2019,13,Shout! Factory,Shout! Factory,All Others (101 Total),All Others (101 Total),1,18,-,760 / 788,760,Tito and the Birds,Tito and the Birds,24/01/2019,24/01/2019,6,0K,21,$0.0 Million,1,11,1,0,,4332,1,0,97295,760,4332,$0.0M,,$0M
38.40%,All Others (101 Total),,NADA,NADA,Month,27/06/2019,83,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),4,20,1,761 / 788,761,The Fate of Lee Khan,The Fate of Lee Khan,05/04/2019,05/04/2019,3,0K,21,$0.0 Million,4,11,1,0,,4295,1,1648,61128,761,4295,$0.0M,,$0M
65.70%,All Others (101 Total),,NADA,NADA,Month,09/01/2019,6,The Orchard,The Orchard,All Others (101 Total),All Others (101 Total),1,16,10,762 / 788,762,State Like Sleep,State Like Sleep,03/01/2019,03/01/2019,10,0K,21,$0.0 Million,1,11,1,0,,4282,1,2813,87245,762,4282,$0.0M,,$0M
57.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Grasshopper Film,Grasshopper Film,All Others (101 Total),All Others (101 Total),8,7,1,763 / 788,763,La Flor,La Flor,09/08/2019,09/08/2019,1,0K,21,$0.0 Million,8,11,1,0,,4032,1,2308,82557,763,4032,$0.0M,,$0M
68.20%,All Others (101 Total),,NADA,NADA,Month,,NA,Sumbadhat Productions,Sumbadhat Productions,All Others (101 Total),All Others (101 Total),5,15,1,764 / 788,764,Mother of a Day,Mother of a Day,04/05/2019,04/05/2019,1,0K,21,$0.0 Million,5,11,1,0,,3919,1,2672,14596,764,3919,$0.0M,,$0M
63.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Screen Media Films,Screen Media Films,All Others (101 Total),All Others (101 Total),11,9,1,765 / 788,765,Crown Vic,Crown Vic,08/11/2019,08/11/2019,1,0K,21,$0.0 Million,11,11,1,0,,3868,1,2468,61962,765,3868,$0.0M,,$0M
62.60%,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),10,10,1,766 / 788,766,Wallflower,Wallflower,04/10/2019,04/10/2019,7,0K,21,$0.0 Million,10,11,1,0,,3801,1,2378,78334,766,3801,$0.0M,,$0M
14.10%,All Others (101 Total),,NADA,NADA,Month,,NA,The Cinema Guild,The Cinema Guild,All Others (101 Total),All Others (101 Total),5,24,1,767 / 788,767,The Wandering Soap Opera,The Wandering Soap Opera,17/05/2019,17/05/2019,2,0K,21,$0.0 Million,5,11,1,0,,3624,1,512,47346,767,3624,$0.0M,,$0M
66.70%,All Others (101 Total),,NADA,NADA,Month,28/04/2019,16,Ammo Content,Ammo Content,All Others (101 Total),All Others (101 Total),4,10,3,768 / 788,768,Rottentail,Rottentail,12/04/2019,12/04/2019,3,0K,21,$0.0 Million,4,11,1,0,,3383,1,2256,37536,768,3383,$0.0M,,$0M
53%,All Others (101 Total),,NADA,NADA,Month,,NA,GKIDS,GKIDS,All Others (101 Total),All Others (101 Total),9,19,2,769 / 788,769,Another Day of Life,Another Day of Life,13/09/2019,13/09/2019,2,0K,21,$0.0 Million,9,11,1,0,,3190,1,1691,19541,769,3190,$0.0M,,$0M
55.50%,All Others (101 Total),,NADA,NADA,Month,19/05/2019,23,First Run,First Run,All Others (101 Total),All Others (101 Total),4,17,1,770 / 788,770,Chasing Portraits,Chasing Portraits,26/04/2019,26/04/2019,1,0K,21,$0.0 Million,4,11,1,0,,3076,1,1708,51524,770,3076,$0.0M,,$0M
